trial	lh	ps	id	rw	wt	alh	aps	aid	arw	awt	rep	cost
1	-1	-1	-1	-1	1	0.16	50	0.25	0.4	0.8	1	0.564
2	1	-1	-1	-1	-1	0.28	50	0.25	0.4	1.2	1	0.536
3	-1	1	-1	-1	-1	0.16	60	0.25	0.4	1.2	1	0.583
4	1	1	-1	-1	1	0.28	60	0.25	0.4	0.8	1	1.103
5	-1	-1	1	-1	-1	0.16	50	0.15	0.4	1.2	1	0.584
6	1	-1	1	-1	1	0.28	50	0.15	0.4	0.8	1	0.531
7	-1	1	1	-1	1	0.16	60	0.15	0.4	0.8	1	0.549
8	1	1	1	-1	-1	0.28	60	0.15	0.4	1.2	1	0.565
9	-1	-1	-1	1	-1	0.16	50	0.25	0.8	1.2	1	0.585
10	1	-1	-1	1	1	0.28	50	0.25	0.8	0.8	1	0.592
11	-1	1	-1	1	1	0.16	60	0.25	0.8	0.8	1	0.798
12	1	1	-1	1	-1	0.28	60	0.25	0.8	1.2	1	0.566
13	-1	-1	1	1	1	0.16	50	0.15	0.8	0.8	1	0.591
14	1	-1	1	1	-1	0.28	50	0.15	0.8	1.2	1	0.567
15	-1	1	1	1	-1	0.16	60	0.15	0.8	1.2	1	0.570
16	1	1	1	1	1	0.28	60	0.15	0.8	0.8	1	0.568
