trial	lh	ps	id	rw	wt	alh	aps	aid	arw	awt	rep	quality
1	-1	-1	-1	-1	1	0.16	50	0.25	0.4	0.8	1	450
2	1	-1	-1	-1	-1	0.28	50	0.25	0.4	1.2	1	450
3	-1	1	-1	-1	-1	0.16	60	0.25	0.4	1.2	1	450
4	1	1	-1	-1	1	0.28	60	0.25	0.4	0.8	1	250
5	-1	-1	1	-1	-1	0.16	50	0.15	0.4	1.2	1	450
6	1	-1	1	-1	1	0.28	50	0.15	0.4	0.8	1	450
7	-1	1	1	-1	1	0.16	60	0.15	0.4	0.8	1	450
8	1	1	1	-1	-1	0.28	60	0.15	0.4	1.2	1	450
9	-1	-1	-1	1	-1	0.16	50	0.25	0.8	1.2	1	450
10	1	-1	-1	1	1	0.28	50	0.25	0.8	0.8	1	450
11	-1	1	-1	1	1	0.16	60	0.25	0.8	0.8	1	400
12	1	1	-1	1	-1	0.28	60	0.25	0.8	1.2	1	450
13	-1	-1	1	1	1	0.16	50	0.15	0.8	0.8	1	450
14	1	-1	1	1	-1	0.28	50	0.15	0.8	1.2	1	450
15	-1	1	1	1	-1	0.16	60	0.15	0.8	1.2	1	450
16	1	1	1	1	1	0.28	60	0.15	0.8	0.8	1	450
17	-1	-1	-1	-1	1	0.16	50	0.25	0.4	0.8	2	450
18	1	-1	-1	-1	-1	0.28	50	0.25	0.4	1.2	2	450
19	-1	1	-1	-1	-1	0.16	60	0.25	0.4	1.2	2	450
20	1	1	-1	-1	1	0.28	60	0.25	0.4	0.8	2	400
21	-1	-1	1	-1	-1	0.16	50	0.15	0.4	1.2	2	400
22	1	-1	1	-1	1	0.28	50	0.15	0.4	0.8	2	450
23	-1	1	1	-1	1	0.16	60	0.15	0.4	0.8	2	450
24	1	1	1	-1	-1	0.28	60	0.15	0.4	1.2	2	450
25	-1	-1	-1	1	-1	0.16	50	0.25	0.8	1.2	2	400
26	1	-1	-1	1	1	0.28	50	0.25	0.8	0.8	2	450
27	-1	1	-1	1	1	0.16	60	0.25	0.8	0.8	2	400
28	1	1	-1	1	-1	0.28	60	0.25	0.8	1.2	2	450
