Trial Number,LH,PS,ID,RW,WT,Cost,Time,Quality,Notes
1,-1,-1,-1,-1,1,0.51,8746,1,
2,1,-1,-1,-1,-1,0.504,17946,1,
3,-1,1,-1,-1,-1,0.54,14449.6,1,
4,1,1,-1,-1,1,0.51,10178.6,1,
5,-1,-1,1,-1,-1,0.54,14987.2,1,
6,1,-1,1,-1,1,0.5,10362,1,
7,-1,1,1,-1,1,0.5,16635.2,1,
8,1,1,1,-1,-1,0.54,8838.6,1,
9,-1,-1,-1,1,-1,0.54,15108.2,1,
10,1,-1,-1,1,1,0.56,10623.4,1,
11,-1,1,-1,1,1,0.56,16836.75,1,
12,1,1,-1,1,-1,0.54,8598.2,1,Dropped Problem Variable
13,-1,-1,1,1,1,0.54,17027.6,1,
14,1,-1,1,1,-1,0.54,9687,1,
15,-1,1,1,1,-1,0.54,14252.2,1,
16,1,1,1,1,1,0.54,9394.6,1,
17,0,0,0,0,0,0.52,11969.6,1,CP
18,0,0,0,0,0,0.52,12000.4,1,CP
