lh	ps	id	rw	wt	alh	aps	aid	arw	awt	cost1	cost2	cost3	cost4	cost5
-1	-1	-1	-1	1	0.16	50	0.25	0.4	0.8	0.51	0.51	0.51	0.51	0.51
1	-1	-1	-1	-1	0.28	50	0.25	0.4	1.2	0.51	0.51	0.51	0.51	0.48
-1	1	-1	-1	-1	0.16	60	0.25	0.4	1.2	0.54	0.54	0.54	0.54	0.54
1	1	-1	-1	1	0.28	60	0.25	0.4	0.8	0.51	0.51	0.51	0.51	0.51
-1	-1	1	-1	-1	0.16	50	0.15	0.4	1.2	0.54	0.54	0.54	0.54	0.54
1	-1	1	-1	1	0.28	50	0.15	0.4	0.8	0.5	0.5	0.5	0.5	0.5
-1	1	1	-1	1	0.16	60	0.15	0.4	0.8	0.5	0.5	0.5	0.5	0.5
1	1	1	-1	-1	0.28	60	0.15	0.4	1.2	0.54	0.54	0.54	0.54	0.54
-1	-1	-1	1	-1	0.16	50	0.25	0.8	1.2	0.54	0.54	0.54	0.54	0.54
1	-1	-1	1	1	0.28	50	0.25	0.8	0.8	0.56	0.56	0.56	0.56	0.56
-1	1	-1	1	1	0.16	60	0.25	0.8	0.8	0.56	0.56	0.56	0.56	0.56
1	1	-1	1	-1	0.28	60	0.25	0.8	1.2	0.54	0.54	0.54	0.54	0.54
-1	-1	1	1	1	0.16	50	0.15	0.8	0.8	0.54	0.54	0.54	0.54	0.54
1	-1	1	1	-1	0.28	50	0.15	0.8	1.2	0.54	0.54	0.54	0.54	0.54
-1	1	1	1	-1	0.16	60	0.15	0.8	1.2	0.54	0.54	0.54	0.54	0.54
1	1	1	1	1	0.28	60	0.15	0.8	0.8	0.54	0.54	0.54	0.54	0.54
