trial	lh	ps	id	rw	wt	alh	aps	aid	arw	awt	rep	cost
1	-1	-1	-1	-1	1	0.16	50	0.25	0.4	0.8	1	0.51
2	1	-1	-1	-1	-1	0.28	50	0.25	0.4	1.2	1	0.51
3	-1	1	-1	-1	-1	0.16	60	0.25	0.4	1.2	1	0.54
4	1	1	-1	-1	1	0.28	60	0.25	0.4	0.8	1	0.51
5	-1	-1	1	-1	-1	0.16	50	0.15	0.4	1.2	1	0.54
6	1	-1	1	-1	1	0.28	50	0.15	0.4	0.8	1	0.5
7	-1	1	1	-1	1	0.16	60	0.15	0.4	0.8	1	0.5
8	1	1	1	-1	-1	0.28	60	0.15	0.4	1.2	1	0.54
9	-1	-1	-1	1	-1	0.16	50	0.25	0.8	1.2	1	0.54
10	1	-1	-1	1	1	0.28	50	0.25	0.8	0.8	1	0.56
11	-1	1	-1	1	1	0.16	60	0.25	0.8	0.8	1	0.56
12	1	1	-1	1	-1	0.28	60	0.25	0.8	1.2	1	0.54
13	-1	-1	1	1	1	0.16	50	0.15	0.8	0.8	1	0.54
14	1	-1	1	1	-1	0.28	50	0.15	0.8	1.2	1	0.54
15	-1	1	1	1	-1	0.16	60	0.15	0.8	1.2	1	0.53
16	1	1	1	1	1	0.28	60	0.15	0.8	0.8	1	0.54
17	-1	-1	-1	-1	1	0.16	50	0.25	0.4	0.8	2	0.51
18	1	-1	-1	-1	-1	0.28	50	0.25	0.4	1.2	2	0.51
19	-1	1	-1	-1	-1	0.16	60	0.25	0.4	1.2	2	0.54
20	1	1	-1	-1	1	0.28	60	0.25	0.4	0.8	2	0.51
21	-1	-1	1	-1	-1	0.16	50	0.15	0.4	1.2	2	0.54
22	1	-1	1	-1	1	0.28	50	0.15	0.4	0.8	2	0.5
23	-1	1	1	-1	1	0.16	60	0.15	0.4	0.8	2	0.5
24	1	1	1	-1	-1	0.28	60	0.15	0.4	1.2	2	0.54
25	-1	-1	-1	1	-1	0.16	50	0.25	0.8	1.2	2	0.54
26	1	-1	-1	1	1	0.28	50	0.25	0.8	0.8	2	0.56
27	-1	1	-1	1	1	0.16	60	0.25	0.8	0.8	2	0.56
28	1	1	-1	1	-1	0.28	60	0.25	0.8	1.2	2	0.54
29	-1	-1	1	1	1	0.16	50	0.15	0.8	0.8	2	0.54
30	1	-1	1	1	-1	0.28	50	0.15	0.8	1.2	2	0.53
31	-1	1	1	1	-1	0.16	60	0.15	0.8	1.2	2	0.54
32	1	1	1	1	1	0.28	60	0.15	0.8	0.8	2	0.54
33	-1	-1	-1	-1	1	0.16	50	0.25	0.4	0.8	3	0.51
34	1	-1	-1	-1	-1	0.28	50	0.25	0.4	1.2	3	0.51
