trial	lh	ps	id	rw	wt	alh	aps	aid	arw	awt	rep	cost
1	-1	-1	-1	-1	1	0.16	50	0.25	0.4	0.8	1	0.564
2	1	-1	-1	-1	-1	0.28	50	0.25	0.4	1.2	1	0.536
3	-1	1	-1	-1	-1	0.16	60	0.25	0.4	1.2	1	0.583
4	1	1	-1	-1	1	0.28	60	0.25	0.4	0.8	1	1.103
5	-1	-1	1	-1	-1	0.16	50	0.15	0.4	1.2	1	0.584
6	1	-1	1	-1	1	0.28	50	0.15	0.4	0.8	1	0.531
7	-1	1	1	-1	1	0.16	60	0.15	0.4	0.8	1	0.549
8	1	1	1	-1	-1	0.28	60	0.15	0.4	1.2	1	0.565
9	-1	-1	-1	1	-1	0.16	50	0.25	0.8	1.2	1	0.585
10	1	-1	-1	1	1	0.28	50	0.25	0.8	0.8	1	0.592
11	-1	1	-1	1	1	0.16	60	0.25	0.8	0.8	1	0.798
12	1	1	-1	1	-1	0.28	60	0.25	0.8	1.2	1	0.566
13	-1	-1	1	1	1	0.16	50	0.15	0.8	0.8	1	0.591
14	1	-1	1	1	-1	0.28	50	0.15	0.8	1.2	1	0.567
15	-1	1	1	1	-1	0.16	60	0.15	0.8	1.2	1	0.570
16	1	1	1	1	1	0.28	60	0.15	0.8	0.8	1	0.568
17	-1	-1	-1	-1	1	0.16	50	0.25	0.4	0.8	2	0.564
18	1	-1	-1	-1	-1	0.28	50	0.25	0.4	1.2	2	0.536
19	-1	1	-1	-1	-1	0.16	60	0.25	0.4	1.2	2	0.583
20	1	1	-1	-1	1	0.28	60	0.25	0.4	0.8	2	0.728
21	-1	-1	1	-1	-1	0.16	50	0.15	0.4	1.2	2	0.772
22	1	-1	1	-1	1	0.28	50	0.15	0.4	0.8	2	0.530
23	-1	1	1	-1	1	0.16	60	0.15	0.4	0.8	2	0.549
24	1	1	1	-1	-1	0.28	60	0.15	0.4	1.2	2	0.570
25	-1	-1	-1	1	-1	0.16	50	0.25	0.8	1.2	2	0.772
26	1	-1	-1	1	1	0.28	50	0.25	0.8	0.8	2	0.592
27	-1	1	-1	1	1	0.16	60	0.25	0.8	0.8	2	0.610
28	1	1	-1	1	-1	0.28	60	0.25	0.8	1.2	2	0.566
29	-1	-1	1	1	1	0.16	50	0.15	0.8	0.8	2	0.590
30	1	-1	1	1	-1	0.28	50	0.15	0.8	1.2	2	0.557
31	-1	1	1	1	-1	0.16	60	0.15	0.8	1.2	2	0.580
32	1	1	1	1	1	0.28	60	0.15	0.8	0.8	2	0.568
33	-1	-1	-1	-1	1	0.16	50	0.25	0.4	0.8	3	0.563
34	1	-1	-1	-1	-1	0.28	50	0.25	0.4	1.2	3	0.536
35	-1	1	-1	-1	-1	0.16	60	0.25	0.4	1.2	3	0.583
36	1	1	-1	-1	1	0.28	60	0.25	0.4	0.8	3	0.540
37	-1	-1	1	-1	-1	0.16	50	0.15	0.4	1.2	3	0.585
38	1	-1	1	-1	1	0.28	50	0.15	0.4	0.8	3	0.531
39	-1	1	1	-1	1	0.16	60	0.15	0.4	0.8	3	0.550
40	1	1	1	-1	-1	0.28	60	0.15	0.4	1.2	3	0.565
41	-1	-1	-1	1	-1	0.16	50	0.25	0.8	1.2	3	0.585
42	1	-1	-1	1	1	0.28	50	0.25	0.8	0.8	3	0.967
43	-1	1	-1	1	1	0.16	60	0.25	0.8	0.8	3	0.610
44	1	1	-1	1	-1	0.28	60	0.25	0.8	1.2	3	0.566
45	-1	-1	1	1	1	0.16	50	0.15	0.8	0.8	3	0.591
46	1	-1	1	1	-1	0.28	50	0.15	0.8	1.2	3	0.577
47	-1	1	1	1	-1	0.16	60	0.15	0.8	1.2	3	0.570
48	1	1	1	1	1	0.28	60	0.15	0.8	0.8	3	0.568
