lh	ps	id	rw	wt	rep	cost1	quality1	time1	cost2	quality2	time2	cost3	quality3	time3	cost4	quality4	time4	cost5	quality5	time5
-1	-1	-1	-1	1	1	0.51	1	8741	0.51	1	8743	0.51	1	8777	0.51	1	8733	0.51	1	8736
1	-1	-1	-1	-1	2	0.51	1	18098	0.51	1	18042	0.51	1	17930	0.51	1	18026	0.48	1	17634
-1	1	-1	-1	-1	3	0.54	1	14493	0.54	1	14469	0.54	1	14478	0.54	1	14448	0.54	1	14360
1	1	-1	-1	1	4	0.51	1	10191	0.51	1	10185	0.51	1	10199	0.51	1	10118	0.51	1	10200
-1	-1	1	-1	-1	5	0.54	1	14914	0.54	1	14873	0.54	1	15060	0.54	1	15063	0.54	1	15026
1	-1	1	-1	1	6	0.5	1	10423	0.5	1	10199	0.5	1	10345	0.5	1	10421	0.5	1	10422
-1	1	1	-1	1	7	0.5	1	16648	0.5	1	16652	0.5	1	16658	0.5	1	16653	0.5	1	16565
1	1	1	-1	-1	8	0.54	1	8534	0.54	1	10149	0.54	1	8492	0.54	1	8480	0.54	1	8538
-1	-1	-1	1	-1	9	0.54	1	15085	0.54	1	15111	0.54	1	15108	0.54	1	15115	0.54	1	15122
1	-1	-1	1	1	10	0.56	1	10624	0.56	1	10624	0.56	1	10644	0.56	1	10646	0.56	1	10579
-1	1	-1	1	1	11	0.56	1	16840	0.56	1	16837	0.56	1	16864	0.56	1	16477	0.56	1	16806
1	1	-1	1	-1	12	0.54	1	8645	0.54	1	8597	0.54	1	8587	0.54	1	8580	0.54	1	8582
-1	-1	1	1	1	13	0.54	1	17046	0.54	1	16923	0.54	1	17046	0.54	1	17065	0.54	1	17058
1	-1	1	1	-1	14	0.54	1	9012	0.54	1	8932	0.54	1	12589	0.54	1	8944	0.54	1	8958
-1	1	1	1	-1	15	0.54	1	14167	0.54	1	14143	0.54	1	14077	0.54	1	14792	0.54	1	14082
1	1	1	1	1	16	0.54	1	9574	0.54	1	9521	0.54	1	9466	0.54	1	9448	0.54	1	9459
