User,Print result [success canceled failed],Start Datetime [dd.mm.yyyy hh:mm],End Datetime [dd.mm.yyyy hh:mm],Duration,File Name,Used Filament Cost,Quality,Time
wilsonm,success,23.01.2021 20:19,24.01.2021 00:30,4h11m25s,CCR6SE_Run10.gcode,0.54,1,15085
wilsonm,success,23.01.2021 15:33,23.01.2021 19:45,4h11m51s,CCR6SE_Run10.gcode,0.54,1,15111
wilsonm,success,23.01.2021 01:06,23.01.2021 05:18,4h11m48s,CCR6SE_Run10.gcode,0.54,1,15108
_api,success,22.01.2021 02:04,22.01.2021 06:16,4h11m55s,CCR6SE_Run10.gcode,0.54,1,15115
wilsonm,success,21.01.2021 12:45,21.01.2021 16:57,4h12m2s,CCR6SE_Run10.gcode,0.54,1,15122
wilsonm,success,24.01.2021 23:51,25.01.2021 02:48,2h57m4s,CCR6SE_Run11.gcode,0.56,1,10624
wilsonm,success,24.01.2021 20:08,24.01.2021 23:05,2h57m4s,CCR6SE_Run11.gcode,0.56,1,10624
wilsonm,success,24.01.2021 16:28,24.01.2021 19:25,2h57m24s,CCR6SE_Run11.gcode,0.56,1,10644
wilsonm,success,24.01.2021 05:17,24.01.2021 08:14,2h57m26s,CCR6SE_Run11.gcode,0.56,1,10646
wilsonm,success,24.01.2021 00:46,24.01.2021 03:42,2h56m19s,CCR6SE_Run11.gcode,0.56,1,10579
wilsonm,success,27.01.2021 15:34,27.01.2021 20:15,4h40m40s,CCR6SE_Run12.gcode,0.56,1,16840
wilsonm,success,27.01.2021 00:56,27.01.2021 05:36,4h40m37s,CCR6SE_Run12.gcode,0.56,1,16837
_api,success,26.01.2021 12:44,26.01.2021 17:25,4h41m4s,CCR6SE_Run12.gcode,0.56,1,16864
wilsonm,success,25.01.2021 15:24,26.01.2021 04:53,13h28m56s,CCR6SE_Run12.gcode,0.56,1,16477
wilsonm,success,25.01.2021 03:09,25.01.2021 07:49,4h40m6s,CCR6SE_Run12.gcode,0.56,1,16806
