trial	lh	ps	id	rw	wt	alh	aps	aid	arw	awt	rep	cost	time	Quality	rework time	rework cost	rework+cost	rework+time
1	-1	-1	-1	-1	1	0.16	50	0.25	0.4	0.8	1	0.564	18098	450	0	0	0.564	18098
2	1	-1	-1	-1	-1	0.28	50	0.25	0.4	1.2	1	0.536	8741	450	0	0	0.536	8741
3	-1	1	-1	-1	-1	0.16	60	0.25	0.4	1.2	1	0.583	14493	450	0	0	0.583	14493
4	1	1	-1	-1	1	0.28	60	0.25	0.4	0.8	1	0.540	10191	250	90	0.5625	1.103	10281
5	-1	-1	1	-1	-1	0.16	50	0.15	0.4	1.2	1	0.584	14914	450	0	0	0.584	14914
6	1	-1	1	-1	1	0.28	50	0.15	0.4	0.8	1	0.531	10423	450	0	0	0.531	10423
7	-1	1	1	-1	1	0.16	60	0.15	0.4	0.8	1	0.549	16648	450	0	0	0.549	16648
8	1	1	1	-1	-1	0.28	60	0.15	0.4	1.2	1	0.565	8534	450	0	0	0.565	8534
9	-1	-1	-1	1	-1	0.16	50	0.25	0.8	1.2	1	0.585	15085	450	0	0	0.585	15085
10	1	-1	-1	1	1	0.28	50	0.25	0.8	0.8	1	0.592	10624	450	0	0	0.592	10624
11	-1	1	-1	1	1	0.16	60	0.25	0.8	0.8	1	0.610	16840	400	30	0.1875	0.798	16870
12	1	1	-1	1	-1	0.28	60	0.25	0.8	1.2	1	0.566	8645	450	0	0	0.566	8645
13	-1	-1	1	1	1	0.16	50	0.15	0.8	0.8	1	0.591	17046	450	0	0	0.591	17046
14	1	-1	1	1	-1	0.28	50	0.15	0.8	1.2	1	0.567	9012	450	0	0	0.567	9012
15	-1	1	1	1	-1	0.16	60	0.15	0.8	1.2	1	0.570	13488	450	0	0	0.570	13488
16	1	1	1	1	1	0.28	60	0.15	0.8	0.8	1	0.568	9574	450	0	0	0.568	9574
17	-1	-1	-1	-1	1	0.16	50	0.25	0.4	0.8	2	0.564	18042	450	0	0	0.564	18042
18	1	-1	-1	-1	-1	0.28	50	0.25	0.4	1.2	2	0.536	8743	450	0	0	0.536	8743
19	-1	1	-1	-1	-1	0.16	60	0.25	0.4	1.2	2	0.583	14469	450	0	0	0.583	14469
20	1	1	-1	-1	1	0.28	60	0.25	0.4	0.8	2	0.540	10185	400	30	0.1875	0.728	10215
21	-1	-1	1	-1	-1	0.16	50	0.15	0.4	1.2	2	0.584	14873	400	30	0.1875	0.772	14903
22	1	-1	1	-1	1	0.28	50	0.15	0.4	0.8	2	0.530	10199	450	0	0	0.530	10199
23	-1	1	1	-1	1	0.16	60	0.15	0.4	0.8	2	0.549	16652	450	0	0	0.549	16652
24	1	1	1	-1	-1	0.28	60	0.15	0.4	1.2	2	0.570	10149	450	0	0	0.570	10149
25	-1	-1	-1	1	-1	0.16	50	0.25	0.8	1.2	2	0.585	15111	400	30	0.1875	0.772	15141
26	1	-1	-1	1	1	0.28	50	0.25	0.8	0.8	2	0.592	10624	450	0	0	0.592	10624
27	-1	1	-1	1	1	0.16	60	0.25	0.8	0.8	2	0.610	16837	450	0	0	0.610	16837
28	1	1	-1	1	-1	0.28	60	0.25	0.8	1.2	2	0.566	8597	450	0	0	0.566	8597
29	-1	-1	1	1	1	0.16	50	0.15	0.8	0.8	2	0.590	16923	450	0	0	0.590	16923
30	1	-1	1	1	-1	0.28	50	0.15	0.8	1.2	2	0.557	8932	450	0	0	0.557	8932
31	-1	1	1	1	-1	0.16	60	0.15	0.8	1.2	2	0.580	13389	450	0	0	0.580	13389
32	1	1	1	1	1	0.28	60	0.15	0.8	0.8	2	0.568	9521	450	0	0	0.568	9521
33	-1	-1	-1	-1	1	0.16	50	0.25	0.4	0.8	3	0.563	17930	450	0	0	0.563	17930
34	1	-1	-1	-1	-1	0.28	50	0.25	0.4	1.2	3	0.536	8777	450	0	0	0.536	8777
35	-1	1	-1	-1	-1	0.16	60	0.25	0.4	1.2	3	0.583	14478	450	0	0	0.583	14478
36	1	1	-1	-1	1	0.28	60	0.25	0.4	0.8	3	0.540	10199	450	0	0	0.540	10199
37	-1	-1	1	-1	-1	0.16	50	0.15	0.4	1.2	3	0.585	15060	450	0	0	0.585	15060
38	1	-1	1	-1	1	0.28	50	0.15	0.4	0.8	3	0.531	10345	450	0	0	0.531	10345
39	-1	1	1	-1	1	0.16	60	0.15	0.4	0.8	3	0.550	16658	450	0	0	0.550	16658
40	1	1	1	-1	-1	0.28	60	0.15	0.4	1.2	3	0.565	8492	450	0	0	0.565	8492
41	-1	-1	-1	1	-1	0.16	50	0.25	0.8	1.2	3	0.585	15108	450	0	0	0.585	15108
42	1	-1	-1	1	1	0.28	50	0.25	0.8	0.8	3	0.592	10644	375	60	0.375	0.967	10704
43	-1	1	-1	1	1	0.16	60	0.25	0.8	0.8	3	0.610	16864	450	0	0	0.610	16864
44	1	1	-1	1	-1	0.28	60	0.25	0.8	1.2	3	0.566	8587	450	0	0	0.566	8587
45	-1	-1	1	1	1	0.16	50	0.15	0.8	0.8	3	0.591	17046	450	0	0	0.591	17046
46	1	-1	1	1	-1	0.28	50	0.15	0.8	1.2	3	0.577	12589	450	0	0	0.577	12589
47	-1	1	1	1	-1	0.16	60	0.15	0.8	1.2	3	0.570	13465	450	0	0	0.570	13465
48	1	1	1	1	1	0.28	60	0.15	0.8	0.8	3	0.568	9466	450	0	0	0.568	9466
49	-1	-1	-1	-1	1	0.16	50	0.25	0.4	0.8	4	0.564	18026	450	0	0	0.564	18026
50	1	-1	-1	-1	-1	0.28	50	0.25	0.4	1.2	4	0.536	8733	450	0	0	0.536	8733
51	-1	1	-1	-1	-1	0.16	60	0.25	0.4	1.2	4	0.583	14448	450	0	0	0.583	14448
52	1	1	-1	-1	1	0.28	60	0.25	0.4	0.8	4	0.540	10118	450	0	0	0.540	10118
53	-1	-1	1	-1	-1	0.16	50	0.15	0.4	1.2	4	0.585	15063	450	0	0	0.585	15063
