Trial Number,LH,PS,ID,RW,WT,Cost,Time,Quality,Notes
1,-1,-1,-1,-1,1,0.6,8981,1,
2,1,-1,-1,-1,-1,0.56,16885,1,
3,-1,1,-1,-1,-1,0.6,12788,1,
4,1,1,-1,-1,1,0.57,9708,1,
5,-1,-1,1,-1,-1,0.59,14655,1,
6,1,-1,1,-1,1,0.55,10023,1,
7,-1,1,1,-1,1,0.54,14549,1,
8,1,1,1,-1,-1,0.59,7760,1,
9,-1,-1,-1,1,-1,0.6,14623,1,
10,1,-1,-1,1,1,0.62,9447,1,
11,-1,1,-1,1,1,0.61,13582,1,
12,1,1,-1,1,-1,0.6,7761,1,Dropped Problem Variable
13,-1,-1,1,1,1,0.59,14665,1,
14,1,-1,1,1,-1,0.59,8819,1,
15,-1,1,1,1,-1,0.59,12591,1,
16,1,1,1,1,1,0.6,8101,1,
17,0,0,0,0,0,0.58,10265,1,CP
18,0,0,0,0,0,0.58,10267.25,1,CP - Dropped Problem Variable
