trial	lh	ps	id	rw	wt	alh	aps	aid	arw	awt	rep	cost
1	-1	-1	-1	-1	1	0.16	60	0.25	0.4	0.8	1	0.6
2	1	-1	-1	-1	-1	0.28	60	0.25	0.4	1.2	1	0.56
3	-1	1	-1	-1	-1	0.16	72	0.25	0.4	1.2	1	0.6
4	1	1	-1	-1	1	0.28	72	0.25	0.4	0.8	1	0.57
5	-1	-1	1	-1	-1	0.16	60	0.15	0.4	1.2	1	0.59
6	1	-1	1	-1	1	0.28	60	0.15	0.4	0.8	1	0.55
7	-1	1	1	-1	1	0.16	72	0.15	0.4	0.8	1	0.54
8	1	1	1	-1	-1	0.28	72	0.15	0.4	1.2	1	0.59
9	-1	-1	-1	1	-1	0.16	60	0.25	0.8	1.2	1	0.6
10	1	-1	-1	1	1	0.28	60	0.25	0.8	0.8	1	0.62
11	-1	1	-1	1	1	0.16	72	0.25	0.8	0.8	1	0.61
12	1	1	-1	1	-1	0.28	72	0.25	0.8	1.2	1	0.6
13	-1	-1	1	1	1	0.16	60	0.15	0.8	0.8	1	0.59
14	1	-1	1	1	-1	0.28	60	0.15	0.8	1.2	1	0.59
15	-1	1	1	1	-1	0.16	72	0.15	0.8	1.2	1	0.59
16	1	1	1	1	1	0.28	72	0.15	0.8	0.8	1	0.6
17	-1	-1	-1	-1	1	0.16	60	0.25	0.4	0.8	2	0.6
18	1	-1	-1	-1	-1	0.28	60	0.25	0.4	1.2	2	0.56
19	-1	1	-1	-1	-1	0.16	72	0.25	0.4	1.2	2	0.6
20	1	1	-1	-1	1	0.28	72	0.25	0.4	0.8	2	0.57
21	-1	-1	1	-1	-1	0.16	60	0.15	0.4	1.2	2	0.59
22	1	-1	1	-1	1	0.28	60	0.15	0.4	0.8	2	0.55
23	-1	1	1	-1	1	0.16	72	0.15	0.4	0.8	2	0.54
24	1	1	1	-1	-1	0.28	72	0.15	0.4	1.2	2	0.59
25	-1	-1	-1	1	-1	0.16	60	0.25	0.8	1.2	2	0.6
26	1	-1	-1	1	1	0.28	60	0.25	0.8	0.8	2	0.62
27	-1	1	-1	1	1	0.16	72	0.25	0.8	0.8	2	0.61
28	1	1	-1	1	-1	0.28	72	0.25	0.8	1.2	2	0.6
29	-1	-1	1	1	1	0.16	60	0.15	0.8	0.8	2	0.59
30	1	-1	1	1	-1	0.28	60	0.15	0.8	1.2	2	0.59
31	-1	1	1	1	-1	0.16	72	0.15	0.8	1.2	2	0.59
32	1	1	1	1	1	0.28	72	0.15	0.8	0.8	2	0.6
33	-1	-1	-1	-1	1	0.16	60	0.25	0.4	0.8	3	0.6
34	1	-1	-1	-1	-1	0.28	60	0.25	0.4	1.2	3	0.56
35	-1	1	-1	-1	-1	0.16	72	0.25	0.4	1.2	3	0.6
36	1	1	-1	-1	1	0.28	72	0.25	0.4	0.8	3	0.57
37	-1	-1	1	-1	-1	0.16	60	0.15	0.4	1.2	3	0.59
38	1	-1	1	-1	1	0.28	60	0.15	0.4	0.8	3	0.55
39	-1	1	1	-1	1	0.16	72	0.15	0.4	0.8	3	0.54
40	1	1	1	-1	-1	0.28	72	0.15	0.4	1.2	3	0.59
41	-1	-1	-1	1	-1	0.16	60	0.25	0.8	1.2	3	0.6
42	1	-1	-1	1	1	0.28	60	0.25	0.8	0.8	3	0.62
43	-1	1	-1	1	1	0.16	72	0.25	0.8	0.8	3	0.61
44	1	1	-1	1	-1	0.28	72	0.25	0.8	1.2	3	0.6
45	-1	-1	1	1	1	0.16	60	0.15	0.8	0.8	3	0.59
46	1	-1	1	1	-1	0.28	60	0.15	0.8	1.2	3	0.59
47	-1	1	1	1	-1	0.16	72	0.15	0.8	1.2	3	0.59
48	1	1	1	1	1	0.28	72	0.15	0.8	0.8	3	0.6
49	-1	-1	-1	-1	1	0.16	60	0.25	0.4	0.8	4	0.6
50	1	-1	-1	-1	-1	0.28	60	0.25	0.4	1.2	4	0.56
51	-1	1	-1	-1	-1	0.16	72	0.25	0.4	1.2	4	0.6
52	1	1	-1	-1	1	0.28	72	0.25	0.4	0.8	4	0.57
53	-1	-1	1	-1	-1	0.16	60	0.15	0.4	1.2	4	0.59
54	1	-1	1	-1	1	0.28	60	0.15	0.4	0.8	4	0.55
55	-1	1	1	-1	1	0.16	72	0.15	0.4	0.8	4	0.54
56	1	1	1	-1	-1	0.28	72	0.15	0.4	1.2	4	0.59
57	-1	-1	-1	1	-1	0.16	60	0.25	0.8	1.2	4	0.6
58	1	-1	-1	1	1	0.28	60	0.25	0.8	0.8	4	0.62
59	-1	1	-1	1	1	0.16	72	0.25	0.8	0.8	4	0.61
60	1	1	-1	1	-1	0.28	72	0.25	0.8	1.2	4	0.6
61	-1	-1	1	1	1	0.16	60	0.15	0.8	0.8	4	0.59
62	1	-1	1	1	-1	0.28	60	0.15	0.8	1.2	4	0.59
63	-1	1	1	1	-1	0.16	72	0.15	0.8	1.2	4	0.59
64	1	1	1	1	1	0.28	72	0.15	0.8	0.8	4	0.6
65	-1	-1	-1	-1	1	0.16	60	0.25	0.4	0.8	5	0.6
66	1	-1	-1	-1	-1	0.28	60	0.25	0.4	1.2	5	0.56
67	-1	1	-1	-1	-1	0.16	72	0.25	0.4	1.2	5	0.6
68	1	1	-1	-1	1	0.28	72	0.25	0.4	0.8	5	0.57
69	-1	-1	1	-1	-1	0.16	60	0.15	0.4	1.2	5	0.59
70	1	-1	1	-1	1	0.28	60	0.15	0.4	0.8	5	0.55
71	-1	1	1	-1	1	0.16	72	0.15	0.4	0.8	5	0.54
72	1	1	1	-1	-1	0.28	72	0.15	0.4	1.2	5	0.59
73	-1	-1	-1	1	-1	0.16	60	0.25	0.8	1.2	5	0.6
74	1	-1	-1	1	1	0.28	60	0.25	0.8	0.8	5	0.62
75	-1	1	-1	1	1	0.16	72	0.25	0.8	0.8	5	0.61
76	1	1	-1	1	-1	0.28	72	0.25	0.8	1.2	5	0.6
77	-1	-1	1	1	1	0.16	60	0.15	0.8	0.8	5	0.59
78	1	-1	1	1	-1	0.28	60	0.15	0.8	1.2	5	0.59
79	-1	1	1	1	-1	0.16	72	0.15	0.8	1.2	5	0.59
80	1	1	1	1	1	0.28	72	0.15	0.8	0.8	5	0.6
