trial	lh	ps	id	rw	wt	alh	aps	aid	arw	awt	rep	cost
1	-1	-1	-1	-1	1	0.16	60	0.25	0.4	0.8	1	0.593
2	1	-1	-1	-1	-1	0.28	60	0.25	0.4	1.2	1	0.618
3	-1	1	-1	-1	-1	0.16	72	0.25	0.4	1.2	1	0.626
4	1	1	-1	-1	1	0.28	72	0.25	0.4	0.8	1	0.589
5	-1	-1	1	-1	-1	0.16	60	0.15	0.4	1.2	1	0.619
6	1	-1	1	-1	1	0.28	60	0.15	0.4	0.8	1	0.570
7	-1	1	1	-1	1	0.16	72	0.15	0.4	0.8	1	0.569
8	1	1	1	-1	-1	0.28	72	0.15	0.4	1.2	1	0.605
9	-1	-1	-1	1	-1	0.16	60	0.25	0.8	1.2	1	0.636
10	1	-1	-1	1	1	0.28	60	0.25	0.8	0.8	1	0.639
11	-1	1	-1	1	1	0.16	72	0.25	0.8	0.8	1	0.637
12	1	1	-1	1	-1	0.28	72	0.25	0.8	1.2	1	0.619
13	-1	-1	1	1	1	0.16	60	0.15	0.8	0.8	1	0.619
14	1	-1	1	1	-1	0.28	60	0.15	0.8	1.2	1	0.607
15	-1	1	1	1	-1	0.16	72	0.15	0.8	1.2	1	0.615
16	1	1	1	1	1	0.28	72	0.15	0.8	0.8	1	0.616
17	-1	-1	-1	-1	1	0.16	60	0.25	0.4	0.8	2	0.593
18	1	-1	-1	-1	-1	0.28	60	0.25	0.4	1.2	2	0.618
19	-1	1	-1	-1	-1	0.16	72	0.25	0.4	1.2	2	0.625
20	1	1	-1	-1	1	0.28	72	0.25	0.4	0.8	2	0.589
21	-1	-1	1	-1	-1	0.16	60	0.15	0.4	1.2	2	0.619
22	1	-1	1	-1	1	0.28	60	0.15	0.4	0.8	2	0.570
23	-1	1	1	-1	1	0.16	72	0.15	0.4	0.8	2	0.569
24	1	1	1	-1	-1	0.28	72	0.15	0.4	1.2	2	0.605
25	-1	-1	-1	1	-1	0.16	60	0.25	0.8	1.2	2	0.629
26	1	-1	-1	1	1	0.28	60	0.25	0.8	0.8	2	0.639
27	-1	1	-1	1	1	0.16	72	0.25	0.8	0.8	2	0.637
28	1	1	-1	1	-1	0.28	72	0.25	0.8	1.2	2	0.615
29	-1	-1	1	1	1	0.16	60	0.15	0.8	0.8	2	0.619
30	1	-1	1	1	-1	0.28	60	0.15	0.8	1.2	2	0.607
31	-1	1	1	1	-1	0.16	72	0.15	0.8	1.2	2	0.615
32	1	1	1	1	1	0.28	72	0.15	0.8	0.8	2	0.616
33	-1	-1	-1	-1	1	0.16	60	0.25	0.4	0.8	3	0.593
34	1	-1	-1	-1	-1	0.28	60	0.25	0.4	1.2	3	0.618
35	-1	1	-1	-1	-1	0.16	72	0.25	0.4	1.2	3	0.625
36	1	1	-1	-1	1	0.28	72	0.25	0.4	0.8	3	0.589
37	-1	-1	1	-1	-1	0.16	60	0.15	0.4	1.2	3	0.619
38	1	-1	1	-1	1	0.28	60	0.15	0.4	0.8	3	0.570
39	-1	1	1	-1	1	0.16	72	0.15	0.4	0.8	3	0.569
40	1	1	1	-1	-1	0.28	72	0.15	0.4	1.2	3	0.605
41	-1	-1	-1	1	-1	0.16	60	0.25	0.8	1.2	3	0.629
42	1	-1	-1	1	1	0.28	60	0.25	0.8	0.8	3	0.639
43	-1	1	-1	1	1	0.16	72	0.25	0.8	0.8	3	0.637
44	1	1	-1	1	-1	0.28	72	0.25	0.8	1.2	3	0.615
45	-1	-1	1	1	1	0.16	60	0.15	0.8	0.8	3	0.619
46	1	-1	1	1	-1	0.28	60	0.15	0.8	1.2	3	0.607
47	-1	1	1	1	-1	0.16	72	0.15	0.8	1.2	3	0.615
48	1	1	1	1	1	0.28	72	0.15	0.8	0.8	3	0.619
49	-1	-1	-1	-1	1	0.16	60	0.25	0.4	0.8	4	0.593
50	1	-1	-1	-1	-1	0.28	60	0.25	0.4	1.2	4	0.618
51	-1	1	-1	-1	-1	0.16	72	0.25	0.4	1.2	4	0.625
52	1	1	-1	-1	1	0.28	72	0.25	0.4	0.8	4	0.589
53	-1	-1	1	-1	-1	0.16	60	0.15	0.4	1.2	4	0.619
54	1	-1	1	-1	1	0.28	60	0.15	0.4	0.8	4	0.570
55	-1	1	1	-1	1	0.16	72	0.15	0.4	0.8	4	0.569
56	1	1	1	-1	-1	0.28	72	0.15	0.4	1.2	4	0.605
57	-1	-1	-1	1	-1	0.16	60	0.25	0.8	1.2	4	0.629
58	1	-1	-1	1	1	0.28	60	0.25	0.8	0.8	4	0.639
59	-1	1	-1	1	1	0.16	72	0.25	0.8	0.8	4	0.637
60	1	1	-1	1	-1	0.28	72	0.25	0.8	1.2	4	0.615
61	-1	-1	1	1	1	0.16	60	0.15	0.8	0.8	4	0.619
62	1	-1	1	1	-1	0.28	60	0.15	0.8	1.2	4	0.607
63	-1	1	1	1	-1	0.16	72	0.15	0.8	1.2	4	0.615
64	1	1	1	1	1	0.28	72	0.15	0.8	0.8	4	0.616
65	-1	-1	-1	-1	1	0.16	60	0.25	0.4	0.8	5	0.593
66	1	-1	-1	-1	-1	0.28	60	0.25	0.4	1.2	5	0.618
67	-1	1	-1	-1	-1	0.16	72	0.25	0.4	1.2	5	0.625
68	1	1	-1	-1	1	0.28	72	0.25	0.4	0.8	5	0.589
69	-1	-1	1	-1	-1	0.16	60	0.15	0.4	1.2	5	0.619
70	1	-1	1	-1	1	0.28	60	0.15	0.4	0.8	5	0.570
71	-1	1	1	-1	1	0.16	72	0.15	0.4	0.8	5	0.569
72	1	1	1	-1	-1	0.28	72	0.15	0.4	1.2	5	0.605
73	-1	-1	-1	1	-1	0.16	60	0.25	0.8	1.2	5	0.629
74	1	-1	-1	1	1	0.28	60	0.25	0.8	0.8	5	0.639
75	-1	1	-1	1	1	0.16	72	0.25	0.8	0.8	5	0.637
76	1	1	-1	1	-1	0.28	72	0.25	0.8	1.2	5	0.615
77	-1	-1	1	1	1	0.16	60	0.15	0.8	0.8	5	0.619
78	1	-1	1	1	-1	0.28	60	0.15	0.8	1.2	5	0.607
79	-1	1	1	1	-1	0.16	72	0.15	0.8	1.2	5	0.615
80	1	1	1	1	1	0.28	72	0.15	0.8	0.8	5	0.616
