trial	lh	ps	id	rw	wt	alh	aps	aid	arw	awt	rep	cost
1	-1	-1	-1	-1	1	0.16	60	0.25	0.4	0.8	1	0.781
2	1	-1	-1	-1	-1	0.28	60	0.25	0.4	1.2	1	1.368
3	-1	1	-1	-1	-1	0.16	72	0.25	0.4	1.2	1	0.626
4	1	1	-1	-1	1	0.28	72	0.25	0.4	0.8	1	1.339
5	-1	-1	1	-1	-1	0.16	60	0.15	0.4	1.2	1	0.619
6	1	-1	1	-1	1	0.28	60	0.15	0.4	0.8	1	1.320
7	-1	1	1	-1	1	0.16	72	0.15	0.4	0.8	1	1.319
8	1	1	1	-1	-1	0.28	72	0.15	0.4	1.2	1	0.980
9	-1	-1	-1	1	-1	0.16	60	0.25	0.8	1.2	1	0.636
10	1	-1	-1	1	1	0.28	60	0.25	0.8	0.8	1	1.201
11	-1	1	-1	1	1	0.16	72	0.25	0.8	0.8	1	0.637
12	1	1	-1	1	-1	0.28	72	0.25	0.8	1.2	1	0.994
13	-1	-1	1	1	1	0.16	60	0.15	0.8	0.8	1	1.369
14	1	-1	1	1	-1	0.28	60	0.15	0.8	1.2	1	0.607
15	-1	1	1	1	-1	0.16	72	0.15	0.8	1.2	1	0.802
16	1	1	1	1	1	0.28	72	0.15	0.8	0.8	1	1.366
17	-1	-1	-1	-1	1	0.16	60	0.25	0.4	0.8	2	0.593
18	1	-1	-1	-1	-1	0.28	60	0.25	0.4	1.2	2	1.368
19	-1	1	-1	-1	-1	0.16	72	0.25	0.4	1.2	2	0.625
20	1	1	-1	-1	1	0.28	72	0.25	0.4	0.8	2	1.339
21	-1	-1	1	-1	-1	0.16	60	0.15	0.4	1.2	2	0.619
22	1	-1	1	-1	1	0.28	60	0.15	0.4	0.8	2	1.320
23	-1	1	1	-1	1	0.16	72	0.15	0.4	0.8	2	1.319
24	1	1	1	-1	-1	0.28	72	0.15	0.4	1.2	2	0.980
25	-1	-1	-1	1	-1	0.16	60	0.25	0.8	1.2	2	0.816
26	1	-1	-1	1	1	0.28	60	0.25	0.8	0.8	2	1.201
27	-1	1	-1	1	1	0.16	72	0.25	0.8	0.8	2	1.387
28	1	1	-1	1	-1	0.28	72	0.25	0.8	1.2	2	0.990
29	-1	-1	1	1	1	0.16	60	0.15	0.8	0.8	2	0.806
30	1	-1	1	1	-1	0.28	60	0.15	0.8	1.2	2	0.795
31	-1	1	1	1	-1	0.16	72	0.15	0.8	1.2	2	0.802
32	1	1	1	1	1	0.28	72	0.15	0.8	0.8	2	1.366
33	-1	-1	-1	-1	1	0.16	60	0.25	0.4	0.8	3	0.593
34	1	-1	-1	-1	-1	0.28	60	0.25	0.4	1.2	3	1.368
35	-1	1	-1	-1	-1	0.16	72	0.25	0.4	1.2	3	0.625
36	1	1	-1	-1	1	0.28	72	0.25	0.4	0.8	3	1.339
37	-1	-1	1	-1	-1	0.16	60	0.15	0.4	1.2	3	0.619
38	1	-1	1	-1	1	0.28	60	0.15	0.4	0.8	3	1.320
39	-1	1	1	-1	1	0.16	72	0.15	0.4	0.8	3	1.319
40	1	1	1	-1	-1	0.28	72	0.15	0.4	1.2	3	0.980
41	-1	-1	-1	1	-1	0.16	60	0.25	0.8	1.2	3	0.816
42	1	-1	-1	1	1	0.28	60	0.25	0.8	0.8	3	1.201
43	-1	1	-1	1	1	0.16	72	0.25	0.8	0.8	3	1.387
44	1	1	-1	1	-1	0.28	72	0.25	0.8	1.2	3	0.990
45	-1	-1	1	1	1	0.16	60	0.15	0.8	0.8	3	0.807
46	1	-1	1	1	-1	0.28	60	0.15	0.8	1.2	3	0.795
47	-1	1	1	1	-1	0.16	72	0.15	0.8	1.2	3	0.802
48	1	1	1	1	1	0.28	72	0.15	0.8	0.8	3	1.369
49	-1	-1	-1	-1	1	0.16	60	0.25	0.4	0.8	4	0.593
50	1	-1	-1	-1	-1	0.28	60	0.25	0.4	1.2	4	1.368
51	-1	1	-1	-1	-1	0.16	72	0.25	0.4	1.2	4	0.625
52	1	1	-1	-1	1	0.28	72	0.25	0.4	0.8	4	1.339
53	-1	-1	1	-1	-1	0.16	60	0.15	0.4	1.2	4	0.619
54	1	-1	1	-1	1	0.28	60	0.15	0.4	0.8	4	1.320
55	-1	1	1	-1	1	0.16	72	0.15	0.4	0.8	4	1.319
56	1	1	1	-1	-1	0.28	72	0.15	0.4	1.2	4	0.980
57	-1	-1	-1	1	-1	0.16	60	0.25	0.8	1.2	4	0.816
58	1	-1	-1	1	1	0.28	60	0.25	0.8	0.8	4	1.201
59	-1	1	-1	1	1	0.16	72	0.25	0.8	0.8	4	1.387
60	1	1	-1	1	-1	0.28	72	0.25	0.8	1.2	4	0.803
61	-1	-1	1	1	1	0.16	60	0.15	0.8	0.8	4	0.807
62	1	-1	1	1	-1	0.28	60	0.15	0.8	1.2	4	0.795
63	-1	1	1	1	-1	0.16	72	0.15	0.8	1.2	4	0.802
64	1	1	1	1	1	0.28	72	0.15	0.8	0.8	4	1.366
65	-1	-1	-1	-1	1	0.16	60	0.25	0.4	0.8	5	0.593
66	1	-1	-1	-1	-1	0.28	60	0.25	0.4	1.2	5	1.368
67	-1	1	-1	-1	-1	0.16	72	0.25	0.4	1.2	5	0.625
68	1	1	-1	-1	1	0.28	72	0.25	0.4	0.8	5	1.339
69	-1	-1	1	-1	-1	0.16	60	0.15	0.4	1.2	5	0.619
70	1	-1	1	-1	1	0.28	60	0.15	0.4	0.8	5	1.320
71	-1	1	1	-1	1	0.16	72	0.15	0.4	0.8	5	1.319
72	1	1	1	-1	-1	0.28	72	0.15	0.4	1.2	5	0.793
73	-1	-1	-1	1	-1	0.16	60	0.25	0.8	1.2	5	0.816
74	1	-1	-1	1	1	0.28	60	0.25	0.8	0.8	5	1.201
75	-1	1	-1	1	1	0.16	72	0.25	0.8	0.8	5	1.387
76	1	1	-1	1	-1	0.28	72	0.25	0.8	1.2	5	0.803
77	-1	-1	1	1	1	0.16	60	0.15	0.8	0.8	5	0.806
78	1	-1	1	1	-1	0.28	60	0.15	0.8	1.2	5	0.795
79	-1	1	1	1	-1	0.16	72	0.15	0.8	1.2	5	0.615
80	1	1	1	1	1	0.28	72	0.15	0.8	0.8	5	1.366
