trial	lh	ps	id	rw	wt	alh	aps	aid	arw	awt	time
1	-1	-1	-1	-1	1	0.16	60	0.25	0.4	0.8	16916
2	1	-1	-1	-1	-1	0.28	60	0.25	0.4	1.2	9016
3	-1	1	-1	-1	-1	0.16	72	0.25	0.4	1.2	12906
4	1	1	-1	-1	1	0.28	72	0.25	0.4	0.8	9711
5	-1	-1	1	-1	-1	0.16	60	0.15	0.4	1.2	14617
6	1	-1	1	-1	1	0.28	60	0.15	0.4	0.8	10142
7	-1	1	1	-1	1	0.16	72	0.15	0.4	0.8	14495
8	1	1	1	-1	-1	0.28	72	0.15	0.4	1.2	7772
9	-1	-1	-1	1	-1	0.16	60	0.25	0.8	1.2	18254
10	1	-1	-1	1	1	0.28	60	0.25	0.8	0.8	9482
11	-1	1	-1	1	1	0.16	72	0.25	0.8	0.8	13550
12	1	1	-1	1	-1	0.28	72	0.25	0.8	1.2	9646
13	-1	-1	1	1	1	0.16	60	0.15	0.8	0.8	14675
14	1	-1	1	1	-1	0.28	60	0.15	0.8	1.2	8822
15	-1	1	1	1	-1	0.16	72	0.15	0.8	1.2	12575
16	1	1	1	1	1	0.28	72	0.15	0.8	0.8	8046
17	-1	-1	-1	-1	1	0.16	60	0.25	0.4	0.8	16882
18	1	-1	-1	-1	-1	0.28	60	0.25	0.4	1.2	8981
19	-1	1	-1	-1	-1	0.16	72	0.25	0.4	1.2	12872
20	1	1	-1	-1	1	0.28	72	0.25	0.4	0.8	9707
21	-1	-1	1	-1	-1	0.16	60	0.15	0.4	1.2	14566
22	1	-1	1	-1	1	0.28	60	0.15	0.4	0.8	10064
23	-1	1	1	-1	1	0.16	72	0.15	0.4	0.8	14576
24	1	1	1	-1	-1	0.28	72	0.15	0.4	1.2	7783
25	-1	-1	-1	1	-1	0.16	60	0.25	0.8	1.2	14654
26	1	-1	-1	1	1	0.28	60	0.25	0.8	0.8	9548
27	-1	1	-1	1	1	0.16	72	0.25	0.8	0.8	13554
28	1	1	-1	1	-1	0.28	72	0.25	0.8	1.2	7774
29	-1	-1	1	1	1	0.16	60	0.15	0.8	0.8	14672
30	1	-1	1	1	-1	0.28	60	0.15	0.8	1.2	8833
31	-1	1	1	1	-1	0.16	72	0.15	0.8	1.2	12602
32	1	1	1	1	1	0.28	72	0.15	0.8	0.8	8114
33	-1	-1	-1	-1	1	0.16	60	0.25	0.4	0.8	16897
34	1	-1	-1	-1	-1	0.28	60	0.25	0.4	1.2	8997
35	-1	1	-1	-1	-1	0.16	72	0.25	0.4	1.2	12872
36	1	1	-1	-1	1	0.28	72	0.25	0.4	0.8	9705
37	-1	-1	1	-1	-1	0.16	60	0.15	0.4	1.2	14660
38	1	-1	1	-1	1	0.28	60	0.15	0.4	0.8	10094
39	-1	1	1	-1	1	0.16	72	0.15	0.4	0.8	14474
40	1	1	1	-1	-1	0.28	72	0.15	0.4	1.2	7775
41	-1	-1	-1	1	-1	0.16	60	0.25	0.8	1.2	14576
42	1	-1	-1	1	1	0.28	60	0.25	0.8	0.8	9457
43	-1	1	-1	1	1	0.16	72	0.25	0.8	0.8	13501
44	1	1	-1	1	-1	0.28	72	0.25	0.8	1.2	7747
45	-1	-1	1	1	1	0.16	60	0.15	0.8	0.8	14682
46	1	-1	1	1	-1	0.28	60	0.15	0.8	1.2	8841
47	-1	1	1	1	-1	0.16	72	0.15	0.8	1.2	12605
48	1	1	1	1	1	0.28	72	0.15	0.8	0.8	9770
49	-1	-1	-1	-1	1	0.16	60	0.25	0.4	0.8	16913
50	1	-1	-1	-1	-1	0.28	60	0.25	0.4	1.2	8975
51	-1	1	-1	-1	-1	0.16	72	0.25	0.4	1.2	12869
52	1	1	-1	-1	1	0.28	72	0.25	0.4	0.8	9682
53	-1	-1	1	-1	-1	0.16	60	0.15	0.4	1.2	14664
54	1	-1	1	-1	1	0.28	60	0.15	0.4	0.8	10132
55	-1	1	1	-1	1	0.16	72	0.15	0.4	0.8	14470
56	1	1	1	-1	-1	0.28	72	0.15	0.4	1.2	7778
57	-1	-1	-1	1	-1	0.16	60	0.25	0.8	1.2	14629
58	1	-1	-1	1	1	0.28	60	0.25	0.8	0.8	9459
59	-1	1	-1	1	1	0.16	72	0.25	0.8	0.8	13550
60	1	1	-1	1	-1	0.28	72	0.25	0.8	1.2	7737
61	-1	-1	1	1	1	0.16	60	0.15	0.8	0.8	14748
62	1	-1	1	1	-1	0.28	60	0.15	0.8	1.2	8836
63	-1	1	1	1	-1	0.16	72	0.15	0.8	1.2	12545
64	1	1	1	1	1	0.28	72	0.15	0.8	0.8	8094
65	-1	-1	-1	-1	1	0.16	60	0.25	0.4	0.8	16885
66	1	-1	-1	-1	-1	0.28	60	0.25	0.4	1.2	8981
67	-1	1	-1	-1	-1	0.16	72	0.25	0.4	1.2	12788
68	1	1	-1	-1	1	0.28	72	0.25	0.4	0.8	9708
69	-1	-1	1	-1	-1	0.16	60	0.15	0.4	1.2	14655
70	1	-1	1	-1	1	0.28	60	0.15	0.4	0.8	10023
71	-1	1	1	-1	1	0.16	72	0.15	0.4	0.8	14549
72	1	1	1	-1	-1	0.28	72	0.15	0.4	1.2	7760
73	-1	-1	-1	1	-1	0.16	60	0.25	0.8	1.2	14579
74	1	-1	-1	1	1	0.28	60	0.25	0.8	0.8	9447
