trial	lh	ps	id	rw	wt	alh	aps	aid	arw	awt	rep	time
1	-1	-1	-1	-1	1	0.16	60	0.25	0.4	0.8	1	16946
2	1	-1	-1	-1	-1	0.28	60	0.25	0.4	1.2	1	9136
3	-1	1	-1	-1	-1	0.16	72	0.25	0.4	1.2	1	12906
4	1	1	-1	-1	1	0.28	72	0.25	0.4	0.8	1	9831
5	-1	-1	1	-1	-1	0.16	60	0.15	0.4	1.2	1	14617
6	1	-1	1	-1	1	0.28	60	0.15	0.4	0.8	1	10262
7	-1	1	1	-1	1	0.16	72	0.15	0.4	0.8	1	14615
8	1	1	1	-1	-1	0.28	72	0.15	0.4	1.2	1	7832
9	-1	-1	-1	1	-1	0.16	60	0.25	0.8	1.2	1	18254
10	1	-1	-1	1	1	0.28	60	0.25	0.8	0.8	1	9572
11	-1	1	-1	1	1	0.16	72	0.25	0.8	0.8	1	13550
12	1	1	-1	1	-1	0.28	72	0.25	0.8	1.2	1	9706
13	-1	-1	1	1	1	0.16	60	0.15	0.8	0.8	1	14795
14	1	-1	1	1	-1	0.28	60	0.15	0.8	1.2	1	8822
15	-1	1	1	1	-1	0.16	72	0.15	0.8	1.2	1	12605
16	1	1	1	1	1	0.28	72	0.15	0.8	0.8	1	8166
17	-1	-1	-1	-1	1	0.16	60	0.25	0.4	0.8	2	16882
18	1	-1	-1	-1	-1	0.28	60	0.25	0.4	1.2	2	9101
19	-1	1	-1	-1	-1	0.16	72	0.25	0.4	1.2	2	12872
20	1	1	-1	-1	1	0.28	72	0.25	0.4	0.8	2	9827
21	-1	-1	1	-1	-1	0.16	60	0.15	0.4	1.2	2	14566
22	1	-1	1	-1	1	0.28	60	0.15	0.4	0.8	2	10184
23	-1	1	1	-1	1	0.16	72	0.15	0.4	0.8	2	14696
24	1	1	1	-1	-1	0.28	72	0.15	0.4	1.2	2	7843
25	-1	-1	-1	1	-1	0.16	60	0.25	0.8	1.2	2	14684
26	1	-1	-1	1	1	0.28	60	0.25	0.8	0.8	2	9638
27	-1	1	-1	1	1	0.16	72	0.25	0.8	0.8	2	13674
28	1	1	-1	1	-1	0.28	72	0.25	0.8	1.2	2	7834
29	-1	-1	1	1	1	0.16	60	0.15	0.8	0.8	2	14702
30	1	-1	1	1	-1	0.28	60	0.15	0.8	1.2	2	8863
31	-1	1	1	1	-1	0.16	72	0.15	0.8	1.2	2	12632
32	1	1	1	1	1	0.28	72	0.15	0.8	0.8	2	8234
33	-1	-1	-1	-1	1	0.16	60	0.25	0.4	0.8	3	16897
34	1	-1	-1	-1	-1	0.28	60	0.25	0.4	1.2	3	9117
35	-1	1	-1	-1	-1	0.16	72	0.25	0.4	1.2	3	12872
36	1	1	-1	-1	1	0.28	72	0.25	0.4	0.8	3	9825
37	-1	-1	1	-1	-1	0.16	60	0.15	0.4	1.2	3	14660
38	1	-1	1	-1	1	0.28	60	0.15	0.4	0.8	3	10214
39	-1	1	1	-1	1	0.16	72	0.15	0.4	0.8	3	14594
40	1	1	1	-1	-1	0.28	72	0.15	0.4	1.2	3	7835
41	-1	-1	-1	1	-1	0.16	60	0.25	0.8	1.2	3	14606
42	1	-1	-1	1	1	0.28	60	0.25	0.8	0.8	3	9547
43	-1	1	-1	1	1	0.16	72	0.25	0.8	0.8	3	13621
